draw,position,delta,lo,hi,p,n,n_pos,n_neg,n_zero,verdict
0,QB,0.00916612536422931,0.004355751037673226,0.013755167138625781,0.00025,7,6,0,1,WIN
0,RB,0.005392010467106261,-0.007408866116352974,0.017030456747623202,0.4035,7,5,2,0,NULL
0,WR,-0.0008488805338838858,-0.003994850966271882,0.002250425002919086,0.625,7,4,3,0,NULL
0,TE,-0.006271798377145302,-0.012313434759422703,-0.00010283833813246839,0.0495,7,1,4,2,HARM
1,QB,0.0003773169186703011,-0.0007518796992481167,0.00188383045525902,0.746,7,1,1,5,NULL
1,RB,0.00010889384182843116,-0.0038948883221723058,0.0035245959114622158,0.8995,7,5,2,0,NULL
1,WR,0.0011220801882608291,-1.6412007897830578e-05,0.002555517777271971,0.052,7,5,1,1,NULL
1,TE,-0.002838956709009529,-0.006834960705013549,0.0,0.1935,7,0,2,5,NULL
2,QB,0.0017543859649122803,0.0,0.00526315789473684,0.6695,7,1,0,6,NULL
2,RB,0.0025160676278958016,-0.003143701199476078,0.007414094982308891,0.373,7,5,2,0,NULL
2,WR,6.0342114942070675e-06,-0.0007359850705934066,0.0011970901760105829,0.936,7,1,5,1,NULL
2,TE,0.0015024191494779706,-0.0038961038961038974,0.00840336134453781,0.7305,7,1,1,5,NULL
3,QB,0.0004234895539243351,0.0,0.0012704686617730052,0.6795,7,1,0,6,NULL
3,RB,0.00853844502452258,-0.0014648018313671242,0.01861124787694198,0.106,7,4,3,0,NULL
3,WR,-0.006815251052570637,-0.01213221135853894,-0.0021402830032657147,0.0015,7,1,6,0,HARM
3,TE,-0.006741014403448395,-0.023376623376623374,0.0031535801662781865,0.6695,7,1,1,5,NULL
4,QB,0.007772781865622659,0.0009609002744014268,0.013661679254601784,0.0235,7,6,1,0,WIN
4,RB,-0.00017747967680372838,-0.002772540454986911,0.0030392498941753396,0.877,7,2,4,1,NULL
4,WR,0.001208004412492834,-0.0014341652840583216,0.003401403873873646,0.334,7,5,2,0,NULL
4,TE,0.006951253081200279,-0.0025228641330225588,0.023376623376623395,0.6695,7,1,1,5,NULL
5,QB,0.00615274449860916,-0.0002506265664160369,0.01745572723016331,0.092,7,3,1,3,NULL
5,RB,-0.0010044237806562145,-0.0047835195040055335,0.0018319073418786832,0.664,7,2,3,2,NULL
5,WR,1.8752771211105745e-05,-0.0018530305752876314,0.0018741530860988953,0.9715,7,4,3,0,NULL
5,TE,0.00021730075901264603,-0.04534461926119547,0.04283742573207879,0.9515,7,4,3,0,NULL
6,QB,0.008659010162769558,1.586032892321652e-17,0.020212619460739743,0.049,7,3,1,3,WIN
6,RB,0.0028035606251130946,-0.005224135638811895,0.009924761692613669,0.4745,7,4,3,0,NULL
6,WR,6.94684687807772e-05,-0.0018664098260089254,0.002166169101970174,0.9505,7,2,3,2,NULL
6,TE,0.019658154023395328,0.0027998832950717955,0.03868600439807662,0.017,7,4,1,2,WIN
7,QB,-0.0010025062656641675,-0.0052631578947368585,0.002255639097744356,0.728,7,1,1,5,NULL
7,RB,0.0012176770816311824,-0.00015057406361753043,0.0035448993703013037,0.2205,7,2,1,4,NULL
7,WR,0.0008645458286480493,-0.0006462260945455893,0.0027818841925650317,0.3975,7,3,2,2,NULL
7,TE,0.0013068974368446412,-0.026706076431476142,0.037114227361821635,0.99,7,2,4,1,NULL
8,QB,0.004951292577967959,-0.005764411027568938,0.02160345919744417,0.662,7,2,3,2,NULL
8,RB,1.8157305534259394e-05,-0.0004877133423055021,0.00047023705365956917,0.8965,7,3,2,2,NULL
8,WR,0.00046728101806714495,-0.0013285109310374982,0.0022370391960775757,0.64,7,4,3,0,NULL
8,TE,0.016502151100805114,-0.0010504201680672151,0.03956063931248374,0.0635,7,4,1,2,NULL
9,QB,0.00515023823294499,-0.004010025062656658,0.016954474097331227,0.452,7,2,1,4,NULL
9,RB,-0.0041695564835286724,-0.012909372025377914,0.0025726602502695,0.3315,7,2,5,0,NULL
9,WR,-0.0009930530535555862,-0.002520897691784551,0.0007705046836098654,0.2435,7,2,5,0,NULL
9,TE,0.019480519480519484,0.0,0.058441558441558454,0.6695,7,1,0,6,NULL
10,QB,0.00062794348508634,0.0,0.00188383045525902,0.6885,7,1,0,6,NULL
10,RB,0.003633983265079751,0.0003793801185450474,0.006780296126995036,0.0265,7,5,2,0,WIN
10,WR,-0.00034279933591648985,-0.006862214346963519,0.005672214444738356,0.9255,7,4,3,0,NULL
10,TE,0.005146839744300131,-0.018598068598068625,0.032708519550499165,0.685,7,2,3,2,NULL
11,QB,0.0035087719298245545,0.00025062656641604086,0.009022556390977422,0.0435,7,3,0,4,WIN
11,RB,0.003637926710965546,0.002357485070942165,0.004729198088850005,0.00025,7,7,0,0,WIN
11,WR,-0.0011206642885460535,-0.004330381620497949,0.0020356170510046185,0.511,7,2,4,1,NULL
11,TE,0.00016196393896994059,-0.021416457639451623,0.017982017982017946,0.9525,7,2,2,3,NULL
