batch,run,position,season,k,universe,targets,S,first_feature_season,n_board_vet,n_vet,rho_points_fullvet,mae_games_fullvet,bias_games_fullvet,coverage,rho_points,pearson_points,mae_games,bias_games,rho_games,mae_naive_games
C4,C4I,WR,2014,0,m_panel_ppr12,2014-2024,11,2012,8,179,0.7149928960070151,4.54979671719319,-0.1582621977859275,0.625,,,,,,
C4,C4I,WR,2015,0,m_panel_ppr12,2014-2024,11,2012,17,181,0.7619720934905634,3.970847352299407,0.518408923190736,0.4705882352941176,0.4362745098039216,0.3799401884675014,3.979234803222676,-3.0700938461317304,-0.0386201445395734,3.235294117647059
C4,C4I,WR,2016,0,m_panel_ppr12,2014-2024,11,2012,24,188,0.6938050217129915,4.578542891582823,-0.003036037580192,0.75,0.6834782608695652,0.6739448566264836,3.006776970445036,-1.6042024252975946,0.6815529137119353,1.875
C4,C4I,WR,2017,0,m_panel_ppr12,2014-2024,11,2012,32,193,0.7192340534725439,4.283807006227383,0.4121357203638338,0.8125,0.3181818181818181,0.2673712414618084,3.897003669835102,-1.7969895899032973,-0.0793800014028034,3.53125
C4,C4I,WR,2018,0,m_panel_ppr12,2014-2024,11,2012,38,186,0.729779310907394,4.212268634863613,-0.0394158491368209,0.7631578947368421,0.6907041647368521,0.6609664586249018,3.890830670761155,-2.7337339389729216,0.2847572031101374,3.631578947368421
C4,C4I,WR,2019,0,m_panel_ppr12,2014-2024,11,2012,50,185,0.7447337147042231,4.217341505244713,0.3506882206812709,0.78,0.5420888355342136,0.5309934938993847,3.2499946744976893,-2.2025840310641573,0.1868724198929815,2.72
C4,C4I,WR,2020,0,m_panel_ppr12,2014-2024,11,2012,50,190,0.7603421936150753,4.144543751890124,0.3404884279056207,0.82,0.4521968787515005,0.4569213780666787,3.645173513991341,-1.9335749275475465,0.2450619502202779,3.06
C4,C4I,WR,2021,0,m_panel_ppr12,2014-2024,11,2012,55,197,0.7149528403816412,4.3989670642611225,-0.3546692269392525,0.8,0.3974097657530657,0.3738556229074111,4.250056788732576,-1.7593123001888935,0.0345781033553639,3.690909090909091
C4,C4I,WR,2022,0,m_panel_ppr12,2014-2024,11,2012,48,193,0.7231976092749389,4.418278045670636,-0.2192341591059319,0.8333333333333334,0.732922626263888,0.7236271486477314,3.5505151136824336,-2.676326109189564,0.4035235333551509,2.4166666666666665
C4,C4I,WR,2023,0,m_panel_ppr12,2014-2024,11,2012,62,188,0.7820619992159054,4.344420069586422,-0.5342253891436312,0.8064516129032258,0.5869984009732373,0.5890035353919908,4.284955082487724,-3.731426807907355,0.1790923656223771,3.0806451612903225
C4,C4I,WR,2024,0,m_panel_ppr12,2014-2024,11,2012,58,191,0.7954944848332998,4.088685541183318,0.0127171523743524,0.8103448275862069,0.4491440700655837,0.4623601298983946,3.365489606835395,-1.7628254439378328,0.1704752972384039,2.8793103448275863
C4,C4I,TE,2014,0,m_panel_ppr12,2014-2024,11,2012,3,80,0.7026513340987984,3.809904578653085,-0.5448983081035086,0.6666666666666666,,,,,,
C4,C4I,TE,2015,0,m_panel_ppr12,2014-2024,11,2012,6,79,0.5712169976506846,3.7858459264495696,-0.4700553185316317,0.5,,,,,,
